image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899266920>,what type of hemorrhage is shown?,subarachnoid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992669B0>,did this patient receive iv contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899266A40>,was iv contrast given to the patient?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x17899266AD0>,does the csf have high signal intensity?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x17899266B60>,is there high signal intensity in the csf?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x17899266BF0>,what modality is this image taken?,mri
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x564 at 0x17899266C80>,"is this a t1 weighted, t2 weighted, or flair image?",flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x564 at 0x17899266D10>,what is the mri modality depicted in this image?,flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x17899266DA0>,what contrast was administered to this patient?,oral and iv
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x17899266E30>,what types of contrast does this patient have?,oral and iv
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x17899266EC0>,is the mass loculated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x17899266F50>,which half the cerebellum is the largest mass located?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x17899266FE0>,which side of the cerebellum contains the largest mass?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=260x335 at 0x17899267070>,what organ is this image of?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x515 at 0x17899267100>,does this image use gi contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x515 at 0x17899267190>,is this a contrast enhanced image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x17899267220>,what type of modality was this image taken?,mri - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x178992672B0>,what is the mr weighting in this image?,mri - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899267340>,where are the densities identified in the patient?,posterior to the gastric antrum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992673D0>,what are the hyperattenuations located around the patient?,ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=833x794 at 0x17899267460>,is there cardiomegaly?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x178992674F0>,is there a loculated pancreatic mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=833x794 at 0x17899267580>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x17899267610>,what are the internal morphologic features of this mass?,cystic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x178992676A0>,is this a cystic or solid mass?,cystic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899267730>,does this ct use iv contrast material?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992677C0>,is this a contrast or non contrast ct?,non-contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17899267850>,is this a pa film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178992678E0>,is there any costophrenic angle blunting present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17899267970>,is there presence of any costophrenic angle blunting?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899267A00>,what part of the cns is this image showing?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x17899267A90>,do you see a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x17899267B20>,what organ system is evaluated primarily?,gi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x17899267BB0>,is there a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x17899267C40>,are the ventricles visualized in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x17899267CD0>,are you able to see the ventricles in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x17899267D60>,the lesion is located where in this image?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x17899267DF0>,where is the lesion located in this image?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899267E80>,in which vessel is calcification present?,aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899267F10>,the calcification is located in what vessel?,aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17899267FA0>,what condition is found in the above image?,right subdural hematoma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CC070>,what pathology is seen in this image?,right subdural hematoma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178992CC100>,in what organ do you see swelling?,appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CC190>,are there gallstones?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178992CC220>,what organ is edematous in this image?,appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x178992CC2B0>,this image is suspicious of what cancerous pathology?,hepatocellular carcioma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x178992CC340>,what cancer does this patient have?,hepatocellular carcioma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CC3D0>,is this a noncontrast ct?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x178992CC460>,the infarcts seen are most likely what type?,punctate
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x178992CC4F0>,what types of infarcts are these most likely?,punctate
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CC580>,is this a pneumonia vs. pleural effusion?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CC610>,is a pneumonia or pleural effusion seen in this image?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x178992CC6A0>,how was this film taken?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CC730>,"on what side of the body is there pathology, and what is it?",right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CC7C0>,are gallstones present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CC850>,what is the pathology?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CC8E0>,what pathology is seen int his image?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CC970>,what pathology is seen int his image? what side?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CCA00>,on what side of the body is there pathology?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CCA90>,what side is the pathology?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CCB20>,is there deviation in the trachea?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CCBB0>,is there tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x178992CCC40>,what organ system is highlighted by contrast?,gi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CCCD0>,describe the intensity of the abnormality seen in this image? (central vs. surrounding),central hyperintensity and surrounding hypointensity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CCD60>,how would you describe the central and surrounding intesities of the abnormality seen?,central hyperintensity and surrounding hypointensity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1090 at 0x178992CCDF0>,is the left hemidiaphragm normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x178992CCE80>,is the pathology seen hyperintense or hypointense in nature?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x178992CCF10>,is the abnormality hyperintense or hypointense?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CCFA0>,the contrast is enhancing what inside the lesion?,calcifications
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CD030>,what is enhanced by contrast in the lesion?,calcifications
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CD0C0>,describe the density of this lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CD150>,what is the density of the lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CD1E0>,describe the size of this lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CD270>,what is the size of the lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CD300>,describe the size and density of this lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x178992CD390>,what is the size and density of the lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1295 at 0x178992CD420>,is this a chest x-ray?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x178992CD4B0>,what vascular problem is seen above?,portal vein occlusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x178992CD540>,what vein is occluded?,portal vein
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x178992CD5D0>,do you see cardiomegaly?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x178992CD660>,is cardiomegaly present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x178992CD6F0>,is this an axial plane image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CD780>,why are there no sulci seen in this image?,there is massive cerebral hemisphere edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CD810>,why do you not see sulci in the image?,there is massive cerebral hemisphere edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x178992CD8A0>,is this a kub film?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CD930>,is a noncontrast ct the first imaging test for a suspected brain bleed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x178992CD9C0>,what plane is this image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x178992CDA50>,is there a fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x178992CDAE0>,how would you describe the lesion?,ring-enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CDB70>,is the heart size abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CDC00>,in what plane was this image taken?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CDC90>,what plane was this image taken in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x178992CDD20>,the image has an abnormality located where?,retrocardiac
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x178992CDDB0>,where is the abnormality located in this image?,retrocardiac
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x178992CDE40>,are there any abnormalities seen in the spleen?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x178992CDED0>,what is the pathology seen in the spleen?,nothing
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x178992CDF60>,what structure in the left basal ganglia is spared?,left thalamus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x178992CDFF0>,what is spared in the left basal ganglia?,left thalamus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CE080>,pathology seen in this image?,small subdural hematoma with cerebral edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x178992CE110>,what are key characteristics of the lesion?,ring-enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CE1A0>,what is the condition seen in this image?,small subdural hematoma with cerebral edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CE230>,are there pleural effusions present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CE2C0>,is there presence of pleural effusions in this patient?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x178992CE350>,free air is seen where in this image?,adjacent to the appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x178992CE3E0>,where is the free-air seen in this image?,adjacent to the appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x178992CE470>,is this an mri image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x178992CE500>,the infarction is likely caused by what vessel?,left mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x178992CE590>,what vessel is likely the cause of this infarction?,left mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CE620>,is this film taken ap?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178992CE6B0>,are there any abnormalities in the kidneys?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x692 at 0x178992CE740>,are there abnormal findings on this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x178992CE7D0>,notice any abnormality in the kidneys?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x178992CE860>,what would you call the lesions seen?,ms plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x178992CE8F0>,what is the name of the lesions seen in this image?,ms plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x178992CE980>,is this a plain film xray?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x907 at 0x178992CEA10>,are the costophrenic angles blunted?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x907 at 0x178992CEAA0>,is there any blunting of the costophrenic angle(s)?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x178992CEB30>,"there is mesenteric lymphadenopathy present, what additional region is seeded?",peritoneum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x178992CEBC0>,"we see mesenteric lymphadenopathy in the above image, where else is there cancer?",peritoneum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x178992CEC50>,what is the vascular distribution of these infarcts?,all three vascular distributions
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x178992CECE0>,where are the infarcts located?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x692 at 0x178992CED70>,is this brain scan normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x178992CEE00>,the pathology seen in this image is typical of what disease?,multiple sclerosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x178992CEE90>,what disease does the pathology suggest?,multiple sclerosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x178992CEF20>,in what parts of the brain are the lesions located?,cerebrum and lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x178992CEFB0>,where do you see the lesions?,cerebrum and lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178992CF040>,any tracheal deviation present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x178992CF0D0>,is there any presence of tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CF160>,where is the abnormality located?,right convexity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x178992CF1F0>,where is the pathology located?,right convexity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x178992CF280>,the image shows what abnormality?,abnormal hyperintensity in the right occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x178992CF310>,what is abnormal in this image?,abnormal hyperintensity in the right occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x178992CF3A0>,is the brain tissue ischemic?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x178992CF430>,is this image a ct or mri image?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x178992CF4C0>,is this a special kind of x-ray?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x178992CF550>,this image is concerning for what lung pathology?,pneumonia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x178992CF5E0>,what lung pathology is this image concerning for?,pneumonia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x178992CF670>,the soft-tissue density seen in this image contains what?,air
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x178992CF700>,what is filling the soft-tissue density seen in this image?,air
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178992CF790>,is this a sagittal plane image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178992CF820>,from what do you see stranding?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x178992CF8B0>,what is stranding in this image?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x514 at 0x178992CF940>,the image above shows an abnormality where?,hyperintensity of the left basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x178992CF9D0>,is there atrophy of the brain?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x514 at 0x178992CFA60>,where is the abnormality in this image?,hyperintensity of the left basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x841 at 0x178992CFAF0>,is there evidence of left lung field hyperinflation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x841 at 0x178992CFB80>,has the left lung collapsed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x178992CFC10>,is the grey/white matter border well differentiated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x178992CFCA0>,is there blurring of the grey-white matter junction?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x178992CFD30>,does the pancreatic head appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x178992CFDC0>,is the size of the pancreatic head large?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178992CFE50>,is there evidence of mediastinal shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x178992CFEE0>,is there a midline shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x805 at 0x178992CFF70>,is there evidence of hilar enlargement?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x178992CFFD0>,how would you describe the abnormality?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x805 at 0x178C17640D0>,is there increased lung markings near the hilum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x178C1764160>,is the mass compressing the inferior vena cava?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x178C17641F0>,is the inferior vena cava compressed by the tumor?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1764280>,are the kidneys normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1764310>,are these normal looking kidneys?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C17643A0>,what is happening to the right heart border?,partial silhouetting
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C1764430>,how would you describe the r heart border?,partial silhouetting
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x178C17644C0>,what is the small mass near the left kidney?,splenule
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x178C1764550>,what is located near the left kidney,splenule
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C17645E0>,is the right costophrenic angle sharp?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x178C1764670>,is the abnormality focal or diffuse?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C1764700>,is the right costophrenic angle easily visualized?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x178C1764790>,are the ventricles symmetrical?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x178C1764820>,are the ventricles the same size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C17648B0>,what does the brighter outer ring of the lesion represent?,necrosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C1764940>,what is indicated by the bright ring around the lesion?,necrosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x178C17649D0>,where in relation to the mass is the left kidney located in this image?,posteriorly
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x178C1764A60>,where is the mass located in relation to the left kidney?,posteriorly
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178C1764AF0>,on which side is air under the diaphragm?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178C1764B80>,is free air present under the patient's left or right hemidiaphragm?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C1764C10>,are any ventricles visualized on this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x178C1764CA0>,what kind of scan is this?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x178C1764D30>,can you see ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1764DC0>,are there any other organs visualized in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1764E50>,what other organs are present?,the lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x178C1764EE0>,which lung are more markings present in?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x178C1764F70>,where are the most lung markings?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x178C1765000>,are both kidneys visualized?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x178C1765090>,can you see both kidneys in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x178C1765120>,is there evidence of calcification in the pancreas?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x178C17651B0>,is the pancreas calcified?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x178C1765240>,what test or procedure might reveal the diagnosis?,head/neck ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x178C17652D0>,is there evidence of calcification in the mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1193 at 0x178C1765360>,what can be done to get to a diagnosis?,biopsy
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x178C17653F0>,what is your differential diagnoses?,"metastases, infection/abcess, glioblastoma"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=599x555 at 0x178C1765480>,what are the possible diagnoses?,"toxoplasma, lymphoma, abscesses, other brain tumors"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C1765510>,which is more likely? cancer or hemorrhage?,hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x178C17655A0>,is this cancer or hemorrhage?,cancer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x178C1765630>,what is the most likely explanation for a enlarged kidney in this image?,ureteral obstruction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x178C17656C0>,why is the right kidney enlarged?,ureteral obstruction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x178C1765750>,"what is the alternate name for lens-shaped""""",lentiform
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x178C17657E0>,what term is synonymous with lens-shaped?,biconvex
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x178C1765870>,what are the hypoattenuated round structures surrounding the veterbral column?,psoas muscles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x178C1765900>,is there swelling of the grey matter?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x178C1765990>,is the mass calcified?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x581 at 0x178C1765A20>,what are the structures near the vertebral column?,psoas muscles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x178C1765AB0>,what is the most likely diagnosis?,epidural hematoma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x677 at 0x178C1765B40>,what is going on with this patient?,sinusitis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x178C1765BD0>,do you favor a viral process or parasitic process or other?,viral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x178C1765C60>,is this a viral or parasitic process?,parasitic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x178C1765CF0>,is the heart displaced?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=436x531 at 0x178C1765D80>,is the heart in the wrong position?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C1765E10>,how do you determine cardiomegaly?,if the heart diameter is greater than half the diameter of the thoracic cavity.
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x178C1765EA0>,how do you determine if the heart is enlarged?,c-t ratio
